"# sample","citing DOI","reference count","# reference","DOI","reference","key","author","year","article-title","journal-title","volume","issue","first-page","volume-title","edition","series-title","standards-body","ISSN","issn-type","ISBN","isbn-type","component","unstructured"
"162","10.1515/ceer-2016-0001","1","1",NA,"ref21, Nichols, 04, 2005, Hydrodynamic separators as stormwater best management practices Report no Ut Utah, USA","ref21","Nichols","2005","Hydrodynamic separators as stormwater best management practices Report no Ut Utah","USA","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","10.1007/s10948-016-3522-2","26","12","10.1063/1.4894833","3522_CR12, crossref, 103905, 10.1063/1.4894833, 116, M Shafiq, 2014, Shafiq, M., Ahmad, I., Asadabadi, S.J.: J. Appl. Phys. 116, 103905 (2014), J. Appl. Phys.","3522_CR12","M Shafiq","2014",NA,"J. Appl. Phys.","116",NA,"103905",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shafiq, M., Ahmad, I., Asadabadi, S.J.: J. Appl. Phys. 116, 103905 (2014)"
"164","10.3389/fnsyn.2016.00023","71","27","10.1016/j.neuron.2013.12.024","B27, publisher, 249, 10.1016/j.neuron.2013.12.024, CaMKII: claiming center stage in postsynaptic function and organization, 81, Hell, 2014, Neuron","B27","Hell","2014","CaMKII: claiming center stage in postsynaptic function and organization","Neuron","81",NA,"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","10.1177/1742715016663302","30","26","10.1177/1742715012467488","bibr26-1742715016663302, 10.1177/1742715012467488, publisher","bibr26-1742715016663302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","10.1126/scisignal.aaf6530","42","17","10.1093/jxb/erg167","387, 17_17637370, publisher, 1627, 10.1093/jxb/erg167, 54, 2003, Journal of Experimental Botany, http://id.crossref.org/issn/0022-0957, print","17_17637370",NA,"2003",NA,"Journal of Experimental Botany","54","387","1627",NA,NA,NA,NA,"http://id.crossref.org/issn/0022-0957","print",NA,NA,NA,NA
"167","10.1002/pc.24599","53","8","10.1016/j.matchemphys.2015.11.047","10.1002/pc.24599-BIB0008|pc24599-cit-0008, Opelt, 169, 179, 2016, Mater. Chem. Phys., 10.1016/j.matchemphys.2015.11.047, crossref","10.1002/pc.24599-BIB0008|pc24599-cit-0008","Opelt","2016",NA,"Mater. Chem. Phys.","169",NA,"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","10.1371/journal.pone.0163347","47","18","10.1016/j.ajic.2013.07.011","1, ref18, crossref, 71, 10.1016/j.ajic.2013.07.011, Beginning the journey of hand hygiene compliance monitoring at a 2,100-bed tertiary hospital in Vietnam, 42, S Salmon, 2014, Am J Infect Control","ref18","S Salmon","2014","Beginning the journey of hand hygiene compliance monitoring at a 2,100-bed tertiary hospital in Vietnam","Am J Infect Control","42","1","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","10.1039/c7ra07265a","46","38",NA,"C7RA07265A-(cit38)/*[position()=1], Sutton, 1998, 
          
            K.
            Sutton
           and P.Gnoffo, 7th AIAA/ASME Joint Thermophysics and Heat Transfer Conference, 1998, 7th AIAA/ASME Joint Thermophysics and Heat Transfer Conference","C7RA07265A-(cit38)/*[position()=1]","Sutton","1998",NA,NA,"7th AIAA/ASME Joint Thermophysics and Heat Transfer Conference",NA,NA,"7th AIAA/ASME Joint Thermophysics and Heat Transfer Conference",NA,NA,NA,NA,NA,NA,NA,NA,"
          
            K.
            Sutton
           and P.Gnoffo, 7th AIAA/ASME Joint Thermophysics and Heat Transfer Conference, 1998"
"170","10.2140/involve.2015.8.735","6","4",NA,"khat, Khatri, 39, 95, 1977, J. Roy. Statist. Soc. (B) Stat. Methodol.","khat","Khatri","1977",NA,"J. Roy. Statist. Soc. (B) Stat. Methodol.","39",NA,"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","10.1186/s12935-015-0267-0","99","17","10.1158/0008-5472.CAN-08-0234","267_CR17, crossref, 5380, 10.1158/0008-5472.CAN-08-0234, 68, C O’Brien, 2008, O’Brien C, Cavet G, Pandita A, Hu X, Haydu L, Mohan S, et al. Functional genomics identifies ABCC3 as a mediator of taxane resistance in HER2-amplified breast cancer. Cancer Res. 2008;68:5380–9., Cancer Res","267_CR17","C O’Brien","2008",NA,"Cancer Res","68",NA,"5380",NA,NA,NA,NA,NA,NA,NA,NA,NA,"O’Brien C, Cavet G, Pandita A, Hu X, Haydu L, Mohan S, et al. Functional genomics identifies ABCC3 as a mediator of taxane resistance in HER2-amplified breast cancer. Cancer Res. 2008;68:5380–9."
"172","10.1007/s00103-016-2502-9","50","39",NA,"2502_CR39, FW Brandt, 7, 2013, Brandt FW (2013) Pharmakokinetik und Metabolismus des 20-Hydroxyecdysons im Menschen. Abteilung der physiologischen Chemie der Philipps-Universität Marburg, Marburg, S 7–23, Pharmakokinetik und Metabolismus des 20-Hydroxyecdysons im Menschen","2502_CR39","FW Brandt","2013",NA,NA,"Pharmakokinetik und Metabolismus des 20-Hydroxyecdysons im Menschen",NA,"7","Pharmakokinetik und Metabolismus des 20-Hydroxyecdysons im Menschen",NA,NA,NA,NA,NA,NA,NA,NA,"Brandt FW (2013) Pharmakokinetik und Metabolismus des 20-Hydroxyecdysons im Menschen. Abteilung der physiologischen Chemie der Philipps-Universität Marburg, Marburg, S 7–23"
"173","10.1007/s11164-016-2427-9","12","1","10.1016/j.pmatsci.2009.10.001","2427_CR1, crossref, 353, 10.1016/j.pmatsci.2009.10.001, 55, QY Zhang, 2010, Q.Y. Zhang, X.Y. Huang, Prog. Mater. Sci. 55, 353 (2010), Prog. Mater. Sci.","2427_CR1","QY Zhang","2010",NA,"Prog. Mater. Sci.","55",NA,"353",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q.Y. Zhang, X.Y. Huang, Prog. Mater. Sci. 55, 353 (2010)"
"174","10.1007/s15013-015-0772-1","1","1",NA,"772_CR1, Workshop „Mammakarzinom im Dialog“ im Rahmen der 35. Jahrestagung der Deutschen Gesellschaft für Senologie; Leipzig, 25.6.2015; Veranstalter: Novartis Oncology","772_CR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Workshop „Mammakarzinom im Dialog“ im Rahmen der 35. Jahrestagung der Deutschen Gesellschaft für Senologie; Leipzig, 25.6.2015; Veranstalter: Novartis Oncology"
"175","10.1007/s40278-015-7524-9","1","1","10.5152/akd.2014.5397","7, 7524_CR1, crossref, 654, 10.5152/akd.2014.5397, 14, I Yildiz, 2014, Yildiz I, et al. Cardiac tamponade in a patient treated by sunitinib for metastatic renal cell carcinoma. Anadolu Kardiyoloji Dergisi 14: 654-656, No. 7, Nov 2014. Available from: URL: http://doi.org/10.5152/akd.2014.5397 - Turkey, Anadolu Kardiyoloji Dergisi","7524_CR1","I Yildiz","2014",NA,"Anadolu Kardiyoloji Dergisi","14","7","654",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yildiz I, et al. Cardiac tamponade in a patient treated by sunitinib for metastatic renal cell carcinoma. Anadolu Kardiyoloji Dergisi 14: 654-656, No. 7, Nov 2014. Available from: URL: http://doi.org/10.5152/akd.2014.5397 - Turkey"
"176","10.1155/2015/234157","37","10","10.1016/0002-9394(86)90939-6","10, 10.1016/0002-9394(86)90939-6, publisher","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","10.1080/21688370.2016.1268667","159","151","10.1073/pnas.1210182109","cit0151, 10.1073/pnas.1210182109, publisher","cit0151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","10.1039/c5ra00235d","29","1","10.1016/0927-7757(93)02706-K","C5RA00235D-(cit1)/*[position()=1], Mohammed, 83, 261, 1994, Colloids Surf., A, 10.1016/0927-7757(93)02706-K, crossref","C5RA00235D-(cit1)/*[position()=1]","Mohammed","1994",NA,"Colloids Surf., A","83",NA,"261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","10.1177/1329878x1515700110","25","11",NA,"bibr18-1329878X1515700110, Gillard J., 2014, My Story","bibr18-1329878X1515700110","Gillard J.","2014",NA,NA,"My Story",NA,NA,"My Story",NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","10.3390/jof2020014","16","1","10.1186/1471-2334-10-67","ref1, 10.1186/1471-2334-10-67, publisher","ref1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","10.1590/1678-4324-2016160544","21","20",NA,"ref20, Zhou X., 1996, Theory of mine <U+FB01>re rescues and applications","ref20","Zhou X.","1996",NA,NA,NA,NA,NA,NA,NA,"Theory of mine <U+FB01>re rescues and applications",NA,NA,NA,NA,NA,NA,NA
"182","10.1002/jcla.21948","32","9","10.1136/ard.60.2.116","10.1002/jcla.21948-BIB0009|jcla21948-cit-0009, crossref, 116, 10.1136/ard.60.2.116, Autoantibody profiles in the sera of European patients with myositis, 60, Brouwer, 2001, Ann Rheum Dis","10.1002/jcla.21948-BIB0009|jcla21948-cit-0009","Brouwer","2001","Autoantibody profiles in the sera of European patients with myositis","Ann Rheum Dis","60",NA,"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","10.1103/physrevphyseducres.12.013101","26","23",NA,"PhysRevPhysEducRes.12.013101Cc24R1, E. Mazur, 1997, Peer Instruction: A User’s Manual","PhysRevPhysEducRes.12.013101Cc24R1","E. Mazur","1997",NA,NA,"Peer Instruction: A User’s Manual",NA,NA,"Peer Instruction: A User’s Manual",NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","10.1111/ajo.12451","29","19","10.1093/humrep/des315","10.1111/ajo.12451-BIB0019|ajo12451-cit-0019, crossref, 3609, 10.1093/humrep/des315, Single embryo transfer reduces the risk of perinatal mortality, a population study, 27, Sullivan, 2012, Hum Reprod","10.1111/ajo.12451-BIB0019|ajo12451-cit-0019","Sullivan","2012","Single embryo transfer reduces the risk of perinatal mortality, a population study","Hum Reprod","27",NA,"3609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","10.1007/s10822-017-0087-5","34","15","10.1039/c0mt00013b","87_CR15, publisher, 609, 10.1039/c0mt00013b, 2, CM Dupureur, 2010, Dupureur CM (2010) One is enough: insights into the two-metal ion nuclease mechanism from global analysis and computational studies. Metallomics 2:609–620. 
https://doi.org/10.1039/c0mt00013b


                , Metallomics","87_CR15","CM Dupureur","2010",NA,"Metallomics","2",NA,"609",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dupureur CM (2010) One is enough: insights into the two-metal ion nuclease mechanism from global analysis and computational studies. Metallomics 2:609–620. 
https://doi.org/10.1039/c0mt00013b


                "
"186","10.1111/1755-0998.12435","61","40","10.1080/10635150500354928","10.1111/1755-0998.12435-BIB0040|men12435-cit-0040, crossref, 21, 10.1080/10635150500354928, Inferring phylogeny despite incomplete lineage sorting, 55, Maddison, 2006, Systematic Biology","10.1111/1755-0998.12435-BIB0040|men12435-cit-0040","Maddison","2006","Inferring phylogeny despite incomplete lineage sorting","Systematic Biology","55",NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","10.1039/c7ja00306d","27","13","10.1007/s00216-016-9676-8","C7JA00306D-(cit13)/*[position()=1], Montaño, 408, 5053, 2016, Anal. Bioanal. Chem., 10.1007/s00216-016-9676-8, crossref","C7JA00306D-(cit13)/*[position()=1]","Montaño","2016",NA,"Anal. Bioanal. Chem.","408",NA,"5053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","10.1093/publius/pjw022","54","5",NA,"2016090807182097000_46.4.596.5, Blöchliger Hansjörg King David . 2006. Fiscal Autonomy of Sub-Central Governments. OECD Working Papers on Fiscal Federalism 2. OECD Publishing.","2016090807182097000_46.4.596.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blöchliger Hansjörg King David . 2006. Fiscal Autonomy of Sub-Central Governments. OECD Working Papers on Fiscal Federalism 2. OECD Publishing."
"189","10.1111/1755-6724.12302_24","9","2","10.1016/S0166-5162(97)00040-2","10.1111/1755-6724.12302_24-BIB0002|acgs12302_24-cit-0002, crossref, 311, 10.1016/S0166-5162(97)00040-2, Measuring the gas content of coal: A review, 35, Diamond, 1998, International Journal of Coal Geology","10.1111/1755-6724.12302_24-BIB0002|acgs12302_24-cit-0002","Diamond","1998","Measuring the gas content of coal: A review","International Journal of Coal Geology","35",NA,"311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","10.3390/mca21040040","24","6",NA,"ref6, 238, State of the art of robotics research based on modern differential geometry, 18, Li, 2007, China Mech. Eng.","ref6","Li","2007","State of the art of robotics research based on modern differential geometry","China Mech. Eng.","18",NA,"238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","10.1080/10807039.2016.1168691","28","3",NA,"cit0003, American Industrial Hygiene Association (AIHA), 2007, AIHA, Falls Church, VA, USA","cit0003","American Industrial Hygiene Association (AIHA)","2007",NA,"AIHA, Falls Church, VA, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","10.1155/2016/3076031","46","22","10.1007/s10792-007-9160-8","22, 10.1007/s10792-007-9160-8, publisher","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","10.1111/jnc.14154","47","26","10.1038/cddis.2014.527","10.1111/jnc.14154-BIB0027|jnc14154-cit-0027, crossref, e1582, 10.1038/cddis.2014.527, Disrupted autophagy after spinal cord injury is associated with ER stress and neuronal cell death, 6, Liu, 2015, Cell Death Dis.","10.1111/jnc.14154-BIB0027|jnc14154-cit-0027","Liu","2015","Disrupted autophagy after spinal cord injury is associated with ER stress and neuronal cell death","Cell Death Dis.","6",NA,"e1582",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","10.1007/s12134-017-0523-3","39","27","10.2307/2545708","523_CR27, crossref, 629, 10.2307/2545708, 20, ET Nigem, 1986, Nigem, E. T. (1986). Arab Americans: migration, socioeconomic and demographic characteristics. International Migration Review, 20, 629–649., International Migration Review","523_CR27","ET Nigem","1986",NA,"International Migration Review","20",NA,"629",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nigem, E. T. (1986). Arab Americans: migration, socioeconomic and demographic characteristics. International Migration Review, 20, 629–649."
"195","10.2903/j.efsa.2016.4623","13","7","10.2903/j.efsa.2012.2538","1, 10.2903/j.efsa.2016.4623_ref7, publisher, 2538, 10.2903/j.efsa.2012.2538, Guidance for the preparation of dossiers for additives already authorised for use in food, 10, EFSA FEEDAP Panel, 2012, EFSA Journal","10.2903/j.efsa.2016.4623_ref7","EFSA FEEDAP Panel","2012","Guidance for the preparation of dossiers for additives already authorised for use in food","EFSA Journal","10","1","2538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","10.1002/cbic.201700247","42","2","10.1126/science.284.5418.1318","10.1002/cbic.201700247-BIB0002|cbic201700247-cit-0002, Costerton, 284, 1318, 1999, Science, 10.1126/science.284.5418.1318, crossref","10.1002/cbic.201700247-BIB0002|cbic201700247-cit-0002","Costerton","1999",NA,"Science","284",NA,"1318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","10.1002/rob.21718","43","19",NA,"10.1002/rob.21718-BIB0019|rob21718-cit-0019, Gotovos, 2013, International Joint Conference on Artificial Intelligence (IJCAI)","10.1002/rob.21718-BIB0019|rob21718-cit-0019","Gotovos","2013",NA,NA,"International Joint Conference on Artificial Intelligence (IJCAI)",NA,NA,"International Joint Conference on Artificial Intelligence (IJCAI)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","10.1155/2015/813902","15","4",NA,"4, 742, 1979, Polymyositis and dermatomyositis","4",NA,"1979",NA,NA,"Polymyositis and dermatomyositis",NA,"742","Polymyositis and dermatomyositis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","10.1002/ciuz.201580041","3","1","10.1016/j.ijmm.2013.09.003","10.1002/ciuz.201580041-BIB1|cit1, Dischinger, 304, 51, 2014, Int. J.Med. Microbiol., 10.1016/j.ijmm.2013.09.003, crossref","10.1002/ciuz.201580041-BIB1|cit1","Dischinger","2014",NA,"Int. J.Med. Microbiol.","304",NA,"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","10.3390/s17061276","16","10","10.1080/02772247809356924","ref10, 10.1080/02772247809356924, publisher","ref10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","10.1007/s10980-017-0562-3","63","14","10.1078/1439-1791-00140","562_CR14, crossref, 129, 10.1078/1439-1791-00140, 4, P Duelli, 2003, Duelli P, Obrist MK (2003) Regional biodiversity in an agricultural landscape: the contribution of seminatural habitat islands. Basic Appl Ecol 4:129–138, Basic Appl Ecol","562_CR14","P Duelli","2003",NA,"Basic Appl Ecol","4",NA,"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duelli P, Obrist MK (2003) Regional biodiversity in an agricultural landscape: the contribution of seminatural habitat islands. Basic Appl Ecol 4:129–138"
"202","10.1093/ofid/ofv046","32","32","10.1371/journal.pone.0005790","
key
				20170424183802_OFV046C32, 4, e5790, 2009, Mortality of patients lost to follow-up in antiretroviral treatment programmes in resource-limited settings: systematic review and meta-analysis, PLoS One, 10.1371/journal.pone.0005790, crossref","
key
				20170424183802_OFV046C32",NA,"2009","Mortality of patients lost to follow-up in antiretroviral treatment programmes in resource-limited settings: systematic review and meta-analysis","PLoS One","4",NA,"e5790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","10.1371/journal.pone.0156260","37","2","10.1182/blood-2004-08-3097","ref2, crossref, 2640, 10.1182/blood-2004-08-3097, The development of imatinib as a therapeutic agent for chronic myeloid leukemia, 105, M Deininger, 2005, Blood","ref2","M Deininger","2005","The development of imatinib as a therapeutic agent for chronic myeloid leukemia","Blood","105",NA,"2640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","10.1080/09507116.2016.1157338","9","1",NA,"CIT0001, Lukin VI, 2, 3, 2008, Svar. Proiz","CIT0001","Lukin VI","2008",NA,"Svar. Proiz","2",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","10.7554/elife.08193","60","5","10.1021/bi00372a003","bib5, publisher, 7799, 10.1021/bi00372a003, Escherichia coli single-strand binding protein forms multiple, distinct complexes with single-stranded DNA, 25, Bujalowski, 1986, Biochemistry","bib5","Bujalowski","1986","Escherichia coli single-strand binding protein forms multiple, distinct complexes with single-stranded DNA","Biochemistry","25",NA,"7799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","10.1155/2015/328208","18","14","10.1109/8.855497","14, 10.1109/8.855497, publisher","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","10.1111/jphp.12683","83","23","10.1016/j.thromres.2005.04.033","10.1111/jphp.12683-BIB0023|jphp12683-cit-0023, crossref, 579, 10.1016/j.thromres.2005.04.033, Angiotensin II induces the expression of tissue factor and its mechanism in human monocytes, 117, He, 2006, Thromb Res","10.1111/jphp.12683-BIB0023|jphp12683-cit-0023","He","2006","Angiotensin II induces the expression of tissue factor and its mechanism in human monocytes","Thromb Res","117",NA,"579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","10.1186/s12876-015-0393-0","33","31","10.1136/gut.30.8.1099","393_CR31, crossref, 1099, 10.1136/gut.30.8.1099, 30, R Nanda, 1989, Nanda R, James R, Smith H, Dudley CR, Jewell DP. Food intolerance and the irritable bowel syndrome. Gut. 1989;30:1099–104., Gut","393_CR31","R Nanda","1989",NA,"Gut","30",NA,"1099",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nanda R, James R, Smith H, Dudley CR, Jewell DP. Food intolerance and the irritable bowel syndrome. Gut. 1989;30:1099–104."
"209","10.1515/raon-2017-0057","38","2",NA,"ref41, 91, 2004, Ferrets, rabbits and rodents. Clinical medicine and surgery","ref41",NA,"2004",NA,NA,"Ferrets, rabbits and rodents. Clinical medicine and surgery",NA,"91","Ferrets, rabbits and rodents. Clinical medicine and surgery",NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","10.1002/stab.201590094","6","2",NA,"10.1002/stab.201590094-BIB2|cit2, Willems, W. M. (Hrsg.): Lehrbuch der Bauphysik. 7. überarb. Aufl., S. 605 f., Springer Vieweg. Wiesbaden, 2013.","10.1002/stab.201590094-BIB2|cit2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Willems, W. M. (Hrsg.): Lehrbuch der Bauphysik. 7. überarb. Aufl., S. 605 f., Springer Vieweg. Wiesbaden, 2013."
"211","10.1377/hlthaff.2015.0330","13","13","10.1197/jamia.M2955","B24, 10.1197/jamia.M2955, publisher","B24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","10.1515/popore-2016-0011","86","86",NA,"ref871, WójcikG, 3, 1998, Frequency and intensity of air temperature inversions in summer season in Kaffiöyra region in Polish","ref871","WójcikG","1998","Frequency and intensity of air temperature inversions in summer season in Kaffiöyra region in Polish",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","10.1002/jbm.a.35718","47","8","10.1002/jbm.a.33009","10.1002/jbm.a.35718-BIB0008|jbma35718-cit-0009, crossref, 543, 10.1002/jbm.a.33009, Angiogenesis and osteogenesis enhanced by bFGF ex vivo gene therapy for bone tissue engineering in reconstruction of calvarial defects, 96, Qu, 2011, J Biomed Mater Res A","10.1002/jbm.a.35718-BIB0008|jbma35718-cit-0009","Qu","2011","Angiogenesis and osteogenesis enhanced by bFGF ex vivo gene therapy for bone tissue engineering in reconstruction of calvarial defects","J Biomed Mater Res A","96",NA,"543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","10.1002/2014gl062505","43","38","10.1002/2013GL057682","10.1002/2014GL062505-BIB0036|grl52609-cit-0036, publisher, 5393, 10.1002/2013GL057682, Newly observed, deep slow slip events at the central Hikurangi margin, New Zealand: Implications for downdip variability of slow slip and tremor, and relationship to seismic structure, 40, Wallace, 2013, Geophys. Res. Lett.","10.1002/2014GL062505-BIB0036|grl52609-cit-0036","Wallace","2013","Newly observed, deep slow slip events at the central Hikurangi margin, New Zealand: Implications for downdip variability of slow slip and tremor, and relationship to seismic structure","Geophys. Res. Lett.","40",NA,"5393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","10.1111/jphp.12684","38","4","10.1073/pnas.0137044100","10.1111/jphp.12684-BIB0004|jphp12684-cit-0004, crossref, 44, 10.1073/pnas.0137044100, Mitotic clonal expansion: a synchronous process required for adipogenesis, 100, Tang, 2003, Proc Natl Acad Sci USA","10.1111/jphp.12684-BIB0004|jphp12684-cit-0004","Tang","2003","Mitotic clonal expansion: a synchronous process required for adipogenesis","Proc Natl Acad Sci USA","100",NA,"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","10.1111/jne.12280","134","8","10.1242/dev.02248","10.1111/jne.12280-BIB0008|jne12280-cit-0008, crossref, 855, 10.1242/dev.02248, Hedgehog signalling from the zona limitans intrathalamica orchestrates patterning of the zebrafish diencephalon, 133, Scholpp, 2006, Development","10.1111/jne.12280-BIB0008|jne12280-cit-0008","Scholpp","2006","Hedgehog signalling from the zona limitans intrathalamica orchestrates patterning of the zebrafish diencephalon","Development","133",NA,"855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","10.1007/s11001-017-9305-8","57","45","10.1016/0037-0738(95)00125-R","9305_CR45, crossref, 7, 10.1016/0037-0738(95)00125-R, 738, G Salman, 1995, Salman G, Abdula I (1995) Development of the Mozambique and Ruvuma sedimentary basins, offshore Mozambique. Sediment Geol 738:7–41, Sediment Geol","9305_CR45","G Salman","1995",NA,"Sediment Geol","738",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salman G, Abdula I (1995) Development of the Mozambique and Ruvuma sedimentary basins, offshore Mozambique. Sediment Geol 738:7–41"
"218","10.1017/s1431927616002257","3","1",NA,"S1431927616002257_ref3, vol 2, 123, 1998, Electron Microscopy 96","S1431927616002257_ref3",NA,"1998",NA,NA,"vol 2",NA,"123","Electron Microscopy 96",NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","10.1515/cpe-2016-0018","41","32","10.1016/j.powtec.2006.05.004","ref101, Derkowski, 166, 2006, Properties and potential applications of zeolitic materials produced from fly ash using simple method of synthesis, Powder Technol, 10.1016/j.powtec.2006.05.004, publisher","ref101","Derkowski","2006","Properties and potential applications of zeolitic materials produced from fly ash using simple method of synthesis","Powder Technol",NA,NA,"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","10.1080/09500693.2017.1304672","23","13",NA,"CIT0014, Matthews K. E., 2012, The state of quantitative skills in undergraduate science education: Findings from an Australian study","CIT0014","Matthews K. E.","2012",NA,NA,"The state of quantitative skills in undergraduate science education: Findings from an Australian study",NA,NA,"The state of quantitative skills in undergraduate science education: Findings from an Australian study",NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","10.1007/s11623-017-0803-2","19","13",NA,"803_CR13, Wolff K., Johnson R.A., Suurmond D.: Fitzpatrick’s Color Atlas and Synopsis of Clinical Dermatology, 5th Edition, McGraw-Hill, USA, 2005, S. 1085, ISBN 0-07-144019-4.","803_CR13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wolff K., Johnson R.A., Suurmond D.: Fitzpatrick’s Color Atlas and Synopsis of Clinical Dermatology, 5th Edition, McGraw-Hill, USA, 2005, S. 1085, ISBN 0-07-144019-4."
"222","10.1007/s11113-015-9357-x","58","15","10.2307/2991929","2, 9357_CR15, crossref, 72, 10.2307/2991929, 24, M Graham, 1998, Graham, M., Larsen, U., & Xiping, X. (1998). Son preference in Anhui Province, China. International Family Planning Perspectives, 24(2), 72–77., International Family Planning Perspectives","9357_CR15","M Graham","1998",NA,"International Family Planning Perspectives","24","2","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Graham, M., Larsen, U., & Xiping, X. (1998). Son preference in Anhui Province, China. International Family Planning Perspectives, 24(2), 72–77."
"223","10.1017/pasa.2015.11","31","15","10.1088/0004-637X/692/2/L67","S1323358015000119_ref001, 10.1088/0004-637X/692/2/L67, publisher","S1323358015000119_ref001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","10.13182/nt14-112","7","2",NA,"CIT0002, KNOLL F. G., 2000, 3, Radiation Detection and Measurement","CIT0002","KNOLL F. G.","2000",NA,NA,"Radiation Detection and Measurement",NA,NA,"Radiation Detection and Measurement","3",NA,NA,NA,NA,NA,NA,NA,NA
"225","10.1002/cpt.898","6","4","10.1200/JCO.2005.05.0104","10.1002/cpt.898-BIB0004|cpt898-cit-0004, crossref, 4545, 10.1200/JCO.2005.05.0104, Invisible barriers to clinical trials: the impact of structural, infrastructural, and procedural barriers to opening oncology clinical trials, 24, Dilts, 2006, J. Clin. Oncol.","10.1002/cpt.898-BIB0004|cpt898-cit-0004","Dilts","2006","Invisible barriers to clinical trials: the impact of structural, infrastructural, and procedural barriers to opening oncology clinical trials","J. Clin. Oncol.","24",NA,"4545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","10.1177/2211068216680208","11","8","10.1093/bioinformatics/btp698","bibr9-2211068216680208, 10.1093/bioinformatics/btp698, publisher","bibr9-2211068216680208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
